Sourcerecord id,"Source Title (Medline-sourced journals are indicated in Green)
Titles indicated in bold red do not meet the Scopus quality criteria anymore and therefore Scopus discontinued the forward capturing",Print-ISSN,E-ISSN,2017 CiteScore,"2017
SJR","2017
SNIP"
21512,ACC Current Journal Review,10621458,,,,
19532,Accident Analysis and Prevention,14575,,2.94,1.462,1.9
27065,Accident and Emergency Nursing,9652302,,,,
18735,Accountability in Research,8989621,,1.05,0.506,0.761
28034,Accounting and Business Research,14788,,1.67,0.97,1.438
200147123,Accounting and Finance,8105391,,1.29,0.384,1.036
19900193215,Accounting and the Public Interest,15309320,,0.47,0.234,0.703
19700188267,Accounting Education,9639284,14684489,1.48,0.755,0.897
145078,Accounting Forum,1559982,,2.21,0.932,1.499
21100388306,Accounting Historians Journal,1484184,23274468,0.41,0.145,0.169
11400153311,Accounting History,10323732,17493374,0.8,0.527,0.61
19900192338,Accounting History Review,21552851,2155286X,1.24,0.402,0.978
5000158708,Accounting Horizons,8887993,15587975,2.11,0.72,1.584
19900191863,Accounting in Europe,17449480,17449499,0.82,0.396,0.634
14000156207,Accounting Perspectives,1911382X,,0.36,0.148,0.359
19600162139,Accounting Research Journal,10309616,,0.42,0.144,0.506
28096,Accounting Review,14826,,3.24,3.946,2.608
130105,"Accounting, Auditing and Accountability Journal",9513574,,4.33,2.187,1.981
18215,"Accounting, Business and Financial History",9585206,14664275,,,
21100843497,"Accounting, Economics and Law",,21522820,,,
9700153235,"Accounting, Management and Information Technologies",9598022,18737595,,,
28094,"Accounting, Organizations and Society",3613682,,2.94,1.771,1.816
22657,Accounts of Chemical Research,14842,15204898,20.79,11.139,4.009
23415,Accreditation and Quality Assurance,9491775,14320517,0.51,0.316,0.697
21100235613,ACDI Anuario Colombiano de Derecho Internacional,20271131,,0.04,0.181,0.111
21100788267,ACG Case Reports Journal,,23263253,0.73,0.223,0.35
5000153201,ACH - Models in Chemistry,12178969,,,,
25159,ACI Materials Journal,0889325X,,1.45,0.994,1.045
25161,ACI Structural Journal,8893241,,1.57,1.233,1.717
5100155014,ACIMED,10249435,15612880,,,
