"ISSN","T.tulo","Estrato","Area"
"20841965","STUDIES IN SECOND LANGUAGE LEARNING AND TEACHING","A2","letras_linguistica"
"20504845","STUDIES IN SPANISH & LATIN AMERICAN CINEMAS","B2","letras_linguistica"
"21967148","STUF - LANGUAGE TYPOLOGY AND UNIVERSALS","B2","letras_linguistica"
"22601651","SYNERGIES ARGENTINE","C ","letras_linguistica"
"15188779","SYNERGIES BR�SIL","B4","letras_linguistica"
"1851779X","SYNTHESIS","A2","letras_linguistica"
"19110804","TEATRO DE PALABRAS. REVISTA SOBRE TEATRO �UREO","B4","letras_linguistica"
"1677227X","TEMA (CAMPINA GRANDE)","C ","letras_linguistica"
"22504575","TEORIA Y CRITICA TEATRAL DA FACULTAD DE FILOSOFIA Y LETRAS,","C ","letras_linguistica"
"24478997","TERESA","B2","letras_linguistica"
"20136706","TERMIN�LIA - REVISTA SEMESTRAL DE LA SOCIETAT CATALANA DE TERMINOLOGIA","B2","letras_linguistica"
"19742886","TESTI E LINGUAGGI (TESTO STAMPATO)","B3","letras_linguistica"
"01850830","TEXTO CR�TICO","B5","letras_linguistica"
"16456017","TEXTOS&PRETEXTOS","B3","letras_linguistica"
"23286296","THE INTERNATIONAL JOURNAL OF ADULT, COMMUNITY AND PROFESSIONAL LEARNING","B5","letras_linguistica"
"16133676","THE LINGUISTIC REVIEW","A2","letras_linguistica"
"1533242X","THE READING MATRIX","B2","letras_linguistica"
"19936125","THE SOCIAL SCIENCES (ONLINE)","C ","letras_linguistica"
"16134060","THEORETICAL LINGUISTICS","B1","letras_linguistica"
"24094595","THIRD TEXT AFRICA","C ","letras_linguistica"
"14543303","TIBISCUS","B5","letras_linguistica"
"25263609","TO ELLINIKO VLEMMA - REVISTA DE ESTUDOS HEL�NICOS","C ","letras_linguistica"
"23179511","TRADTERM","B2","letras_linguistica"
"01012789","TRADU��O & COMUNICA��O: REVISTA BRASILEIRA DE TRADUTORES","B5","letras_linguistica"
"21786976","TRADU��O & COMUNICA��O: REVISTA BRASILEIRA DE TRADUTORES","B5","letras_linguistica"
"18086195","TRADU��O EM REVISTA (ONLINE)","B2","letras_linguistica"
"22387749","TRADUZIRES","B2","letras_linguistica"
"24472409","TRADUZIR-SE","C ","letras_linguistica"
"19200323","TRANSCULTURAL: JOURNAL OF TRANSLATION AND CULTURAL STUDIES","C ","letras_linguistica"
"21936986","TRANSLATION: COMPUTATION, CORPORA, COGNITION","C ","letras_linguistica"
"22811966","TRANSPOSTCROSS LETTERATURE CULTURE","C ","letras_linguistica"
"24468959","TRANSVERSAL REVISTA EM TRADU��O","C ","letras_linguistica"
"16787641","TRANSVERSAL (S�O PAULO)","C ","letras_linguistica"
"01019570","TRAVESSIA (UFSC)","B2","letras_linguistica"
"24589918","TURKISH ONLINE JOURNAL OF ENGLISH LANGUAGE TEACHING","B5","letras_linguistica"
"19255624","TUSAAJI: A TRANSLATION REVIEW","B2","letras_linguistica"
