ISSN,T�tulo,Estrato
1744-3091,ACTA CRYSTALLOGRAPHICA SECTON F: STRUCTURAL BIOLOGY COMMUNICATIONS,B1
0001-5547,ACTA CYTOLOGICA,B1
1938-2650,ACTA CYTOLOGICA,B1
0374-1036,ACTA ENTOMOLOGICA MUSEI NATIONALIS PRAGAE,B2
2317-0190,ACTA FISI�TRICA,B3
0300-9033,ACTA GASTROENTEROL�GICA LATINOAMERICANA,B3
2177-4307,ACTA GEOGRAFICA,B2
1980-5772,ACTA GEOGR�FICA (UFRR),B2
2406-6168,ACTA HORTICULTURAE,B2
2316-4093,ACTA IGUAZU,B4
2316-4093,ACTA IGUAZU,B4
2316-4093,ACTA IGUAZU,B4
2179-975X,ACTA LIMNOLOGICA BRASILIENSIA (ONLINE),B2
1359-6454,ACTA MATERIALIA (OXFORD),A1
0001-5970,ACTA MECHANICA,B1
0103-5037,ACTA M�DICA (PORTO ALEGRE),B3
0870-399X,ACTA M�DICA PORTUGUESA,B3
1601-5215,ACTA NEUROPSYCHIATRICA,B2
0326-4815,ACTA ODONTOL�GICA LATINOAMERICANA,B2
1502-3850,ACTA ODONTOLOGICA SCANDINAVICA,B1
0001-6357,ACTA ODONTOLOGICA SCANDINAVICA (TRYKT UTG.),B1
0001-6365,ACTA ODONTOL�GICA VENEZOLANA,B1
1146-609X,ACTA OECOLOGICA (MONTROUGE),B1
1755-375X,ACTA OPHTHALMOLOGICA (2008. PRINT),A1
1413-7852,ACTA ORTOP�DICA BRASILEIRA,B1
1413-7852,ACTA ORTOP�DICA BRASILEIRA (IMPRESSO),B1
1809-4406,ACTA ORTOP�DICA BRASILEIRA (ONLINE),B1
0803-5253,ACTA PAEDIATRICA (OSLO),B1
1230-2821,ACTA PARASITOLOGICA,B1
1982-0194,ACTA PAUL DE ENFERM,B1
0103-2100,ACTA PAULISTA DE ENFERMAGEM,B1
0103-2100,ACTA PAULISTA DE ENFERMAGEM,B1
1982-0194,ACTA PAULISTA DE ENFERMAGEM (ONLINE),B1
0103-2100,ACTA PAULISTA DE ENFERMAGEM (UNIFESP. IMPRESSO),B1
0873-9781,ACTA PEDIATRICA PORTUGUESA,B3
0587-4246,ACTA PHYSICA POLONICA. A,B2
0137-5881,ACTA PHYSIOLOGIAE PLANTARUM,B1
0231-424X,ACTA PHYSIOLOGICA HUNGARICA (PRINT),B2
1748-1708,ACTA PHYSIOLOGICA (PRINT),A1
0371-0874,ACTA PHYSIOLOGICA SINICA,B3
0065-1583,ACTA PROTOZOOLOGICA (DRUK),B1
0001-690X,ACTA PSYCHIATRICA SCANDINAVICA,A1
2317-8957,ACTA SCIENTIAE ET TECHNICAE,B4
1517-4492,ACTA SCIENTIAE (ULBRA),B4
1679-9216,ACTA SCIENTIAE VETERINARIAE (ONLINE),B2
1678-0345,ACTA SCIENTIAE VETERINARIAE (UFRGS. IMPRESSO),B2
1679-9275,ACTA SCIENTIARUM. AGRONOMY (IMPRESSO),B1
1807-8621,ACTA SCIENTIARUM. AGRONOMY (ONLINE),B1
1806-2636,ACTA SCIENTIARUM. ANIMAL SCIENCES,B2
1807-8672,ACTA SCIENTIARUM. ANIMAL SCIENCES,B2
1679-9283,ACTA SCIENTIARUM. BIOLOGICAL SCIENCES (IMPRESSO),B3
1807-863X,ACTA SCIENTIARUM. BIOLOGICAL SCIENCES (ONLINE),B3
2178-5201,ACTA SCIENTIARUM. EDUCATION (ONLINE),B1
2178-5198,ACTA SCIENTIARUM. EDUCATION (PRINT),B1
1679-9291,ACTA SCIENTIARUM. HEALTH SCIENCES,B3
1679-9291,ACTA SCIENTIARUM. HEALTH SCIENCES (IMPRESSO),B3
1807-8648,ACTA SCIENTIARUM. HEALTH SCIENCES (ONLINE),B3
1807-8656,ACTA SCIENTIARUM. HUMAN AND SOCIAL SCIENCES,B1
1415-6814,ACTA SCIENTIARUM (HUMAN AND SOCIAL SCIENCES),B1
1679-7361,ACTA SCIENTIARUM. HUMAN AND SOCIAL SCIENCES (IMPRESSO),B1
1679-7361,ACTA SCIENTIARUM. HUMAN AND SOCIAL SCIENCES (IMPRESSO) (CESSOU EM 2007. CONT. ISSN 1983-4675 ACTA SCIENTIARUM. LANGUAGE AND CULTURE (IMPRESSO)),B1
1983-4675,ACTA SCIENTIARUM. LANGUAGE AND CULTURE (IMPRESSO),B1
1983-4683,ACTA SCIENTIARUM. LANGUAGE AND CULTURE (ONLINE),B1
1806-2563,ACTA SCIENTIARUM. TECHNOLOGY (IMPRESSO),B1
1807-8664,ACTA SCIENTIARUM. TECHNOLOGY (ONLINE),B1
1415-6814,ACTA SCIENTIARUM (UEM),B1
0102-4264,ACTA SEMI�TICA ET LINGU�STICA,B2
2446-7006,ACTA SEMI�TICA ET LINGVISTICA,B2
1221-5872,ACTA TECHNICA NAPOCENSIS. SERIES APPLIED MATHEMATICS AND MECHANICS,B2
1982-422X,ACTA TECNOL�GICA,B4
0001-706X,ACTA TROPICA,A2
1981-5484,ACTA VETERINARIA BRASILICA,B3
1981-5484,ACTA VETERINARIA BRASILICA (UFERSA),B3
0001-7213,ACTA VETERINARIA BRNO (PRINT),B2
0065-1737,ACTA ZOOL�GICA MEXICANA,B2
2357-8068,ACTAPESCA,B4
1850-2032,ACTAS DE DISE�O,B4
1765-2723,ACTIVITES,B2
1409-4703,ACTUALIDADES INVESTIGATIVAS EN EDUCACI�N,B2
0964-5284,ACUPUNCTURE IN MEDICINE,B1
1570-8705,AD HOC NETWORKS,A2
1414-7149,ADAPEC ARQUIVOS,B4
0736-5829,ADAPTED PHYSICAL ACTIVITY QUARTERLY,B1
1692-0279,AD-MINISTER,B2
2316-7548,ADMINISTRA��O DE EMPRESAS EM REVISTA,B5
1645-2240,ADMINISTRA��O EDUCACIONAL,B5
2358-0917,ADMINISTRA��O: ENSINO E PESQUISA (RAEP),B2
2177-6083,ADMINISTRA��O: ENSINO E PESQUISA (RAEP),B2
2175-5787,ADMINISTRA��O P�BLICA E GEST�O SOCIAL,B2
2237-5139,ADM.MADE,B3
2177-5281,ADOLESC�NCIA & SA�DE,B2
2177-5281,ADOLESC�NCIA & SA�DE,B2
1679-9941,ADOLESC�NCIA & SA�DE (UERJ),B2
2177-5281,ADOLESC�NCIA E SA�DE,B2
0929-5607,ADSORPTION (BOSTON),A2
2448-2099,ADSUMUS (REVISTA JUR�DICA DA DEFENSORIA P�BLICA DO TOCANTINS),B5
0342-7633,ADULT EDUCATION AND DEVELOPMENT,B1
0169-409X,ADVANCED DRUG DELIVERY REVIEWS,A1
2196-7350,ADVANCED MATERIALS INTERFACES,A1
1662-8985,ADVANCED MATERIALS RESEARCH,C 
1662-8985,ADVANCED MATERIALS RESEARCH (ONLINE),C 
2164-6627,"ADVANCED SCIENCE, ENGINEERING AND MEDICINE",B3
1936-6612,ADVANCED SCIENCE LETTERS,B2
1314-7684,ADVANCED STUDIES IN MEDICAL SCIENCES.,B4
1178-6949,ADVANCES AND APPLICATIONS IN BIOINFORMATICS AND CHEMISTRY,B1
2169-2459,ADVANCES IN ALZHEIMER'S DISEASE.,B4
0001-8678,ADVANCES IN APPLIED PROBABILITY,A2
2165-4336,ADVANCES IN APPLIED SOCIOLOGY (ONLINE),B2
2156-8502,ADVANCES IN BIOSCIENCE AND BIOTECHNOLOGY,B4
2156-8456,ADVANCES IN BIOSCIENCE AND BIOTECHNOLOGY (IMPRESSO),B4
0001-8686,ADVANCES IN COLLOID AND INTERFACE SCIENCE (PRINT),A1
0219-5259,ADVANCES IN COMPLEX SYSTEMS,B2
1019-7168,ADVANCES IN COMPUTATIONAL MATHEMATICS,A2
2169-2475,ADVANCES IN COMPUTED TOMOGRAPHY,B4
1079-9389,ADVANCES IN DIFFERENTIAL EQUATIONS,B1
2165-9486,ADVANCES IN EDUCATION,B5
0965-9978,ADVANCES IN ENGINEERING SOFTWARE,A2
0965-9978,ADVANCES IN ENGINEERING SOFTWARE,A2
