ISSN,T�tulo,Estrato
2358-2731,BRAZILIAN JOURNAL OF BIOLOGICAL SCIENCES,B4
1519-6984,BRAZILIAN JOURNAL OF BIOLOGY (IMPRESSO),B3
1678-4375,BRAZILIAN JOURNAL OF BIOLOGY (ONLINE),B3
1516-5868,BRAZILIAN JOURNAL OF ECOLOGY (IMPRESSO),B4
1981-6723,BRAZILIAN JOURNAL OF FOOD TECHNOLOGY (ONLINE),B3
2317-4889,BRAZILIAN JOURNAL OF GEOLOGY,B3
0100-879X,BRAZILIAN JOURNAL OF MEDICAL AND BIOLOGICAL RESEARCH (IMPRESSO),B3
1517-8382,BRAZILIAN JOURNAL OF MICROBIOLOGY (IMPRESSO),B3
1678-4405,BRAZILIAN JOURNAL OF MICROBIOLOGY (ONLINE),B4
1982-436X,BRAZILIAN JOURNAL OF OCEANOGRAPHY (ONLINE),B4
2237-8960,BRAZILIAN JOURNAL OF OPERATIONS & PRODUCTION MANAGEMENT,C 
1679-8171,BRAZILIAN JOURNAL OF OPERATIONS AND PRODUCTION MANAGEMENT,C 
1808-8694,BRAZILIAN JOURNAL OF OTORHINOLARYNGOLOGY (IMPRESSO),B3
1984-8250,BRAZILIAN JOURNAL OF PHARMACEUTICAL SCIENCES,B3
2175-9790,BRAZILIAN JOURNAL OF PHARMACEUTICAL SCIENCES (ONLINE),B3
0103-9733,BRAZILIAN JOURNAL OF PHYSICS (IMPRESSO),B4
2319-0612,BRAZILIAN JOURNAL OF RADIATION SCIENCES,B5
1809-4570,BRAZILIAN JOURNAL OF RHEUMATOLOGY,B4
2317-4404,BRAZILIAN JOURNAL OF SURGERY AND CLINICAL RESEARCH,B4
2357-7126,"BRAZILIAN JOURNAL OF TECHNOLOGY, COMMUNICATION, AND COGNITIVE SCIENCE",B5
2316-9842,BRAZILIAN JOURNAL OF THERMAL ANALYSIS,B4
1981-9854,BRAZILIAN JOURNALISM RESEARCH (ONLINE),B4
1807-3107,BRAZILIAN ORAL RESEARCH,B3
1806-8324,BRAZILIAN ORAL RESEARCH (IMPRESSO),B3
2231-0614,BRITISH JOURNAL OF MEDICINE AND MEDICAL RESEARCH,B4
0007-1161,BRITISH JOURNAL OF OPHTHALMOLOGY,B2
